GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore2,21,125,7,19,5,34,5,12,0,4
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore1,9,89,2,4,5,25,2,5,0,4
